medal_type,discipline,country
Silver Medal,Rowing,AIN
Silver Medal,Sailing,Argentina
Gold Medal,Canoe Slalom,Australia
Gold Medal,Canoe Slalom,Australia
Bronze Medal,Rowing,Australia
Silver Medal,Sailing,Australia
Gold Medal,Canoe Slalom,Australia
Silver Medal,Surfing,Australia
Gold Medal,Sailing,Australia
Silver Medal,Canoe Sprint,Australia
Silver Medal,Marathon Swimming,Australia
Bronze Medal,Canoe Sprint,Australia
Gold Medal,Sailing,Austria
Gold Medal,Sailing,Austria
Bronze Medal,Surfing,Brazil
Silver Medal,Surfing,Brazil
Silver Medal,Canoe Sprint,Brazil
Silver Medal,Rowing,Canada
Bronze Medal,Canoe Sprint,Canada
Gold Medal,Canoe Sprint,Canada
Gold Medal,Canoe Sprint,China
Gold Medal,Canoe Sprint,China
Gold Medal,Rowing,Croatia
Bronze Medal,Canoe Sprint,Cuba
Silver Medal,Sailing,Cyprus
Gold Medal,Canoe Sprint,Czechia
Gold Medal,Canoe Sprint,Czechia
Silver Medal,Sailing,Denmark
Bronze Medal,Canoe Sprint,Denmark
Gold Medal,Canoe Slalom,France
Silver Medal,Canoe Slalom,France
Bronze Medal,Sailing,France
Silver Medal,Canoe Slalom,France
Gold Medal,Surfing,France
Bronze Medal,Surfing,France
Silver Medal,Sailing,France
Silver Medal,Canoe Slalom,Germany
Bronze Medal,Rowing,Germany
Gold Medal,Rowing,Germany
Bronze Medal,Canoe Slalom,Germany
Gold Medal,Canoe Sprint,Germany
Silver Medal,Canoe Sprint,Germany
Gold Medal,Canoe Sprint,Germany
Bronze Medal,Canoe Sprint,Germany
Silver Medal,Marathon Swimming,Germany
Bronze Medal,Canoe Slalom,Great Britain
Silver Medal,Canoe Slalom,Great Britain
Gold Medal,Rowing,Great Britain
Bronze Medal,Rowing,Great Britain
Bronze Medal,Rowing,Great Britain
Silver Medal,Rowing,Great Britain
Gold Medal,Rowing,Great Britain
Silver Medal,Rowing,Great Britain
Gold Medal,Rowing,Great Britain
Bronze Medal,Rowing,Great Britain
Bronze Medal,Sailing,Great Britain
Silver Medal,Canoe Slalom,Great Britain
Bronze Medal,Canoe Slalom,Great Britain
Gold Medal,Sailing,Great Britain
Bronze Medal,Rowing,Greece
Bronze Medal,Rowing,Greece
Bronze Medal,Canoe Sprint,Hungary
Silver Medal,Canoe Sprint,Hungary
Silver Medal,Canoe Sprint,Hungary
Bronze Medal,Canoe Sprint,Hungary
Gold Medal,Marathon Swimming,Hungary
Bronze Medal,Marathon Swimming,Hungary
Silver Medal,Canoe Sprint,Hungary
Bronze Medal,Canoe Sprint,Hungary
Silver Medal,Canoe Sprint,Hungary
Bronze Medal,Rowing,Ireland
Gold Medal,Rowing,Ireland
Gold Medal,Sailing,Israel
Silver Medal,Sailing,Israel
Silver Medal,Rowing,Italy
Gold Medal,Canoe Slalom,Italy
Silver Medal,Rowing,Italy
Gold Medal,Sailing,Italy
Silver Medal,Canoe Sprint,Italy
Bronze Medal,Marathon Swimming,Italy
Gold Medal,Sailing,Italy
Silver Medal,Sailing,Japan
Bronze Medal,Rowing,Lithuania
Gold Medal,Rowing,Netherlands
Silver Medal,Rowing,Netherlands
Silver Medal,Rowing,Netherlands
Gold Medal,Rowing,Netherlands
Gold Medal,Rowing,Netherlands
Gold Medal,Sailing,Netherlands
Silver Medal,Rowing,Netherlands
Bronze Medal,Rowing,Netherlands
Gold Medal,Rowing,Netherlands
Bronze Medal,Sailing,Netherlands
Gold Medal,Sailing,Netherlands
Gold Medal,Marathon Swimming,Netherlands
Bronze Medal,Sailing,Netherlands
Silver Medal,Rowing,New Zealand
Gold Medal,Rowing,New Zealand
Bronze Medal,Rowing,New Zealand
Silver Medal,Sailing,New Zealand
Silver Medal,Rowing,New Zealand
Gold Medal,Canoe Slalom,New Zealand
Gold Medal,Canoe Sprint,New Zealand
Bronze Medal,Sailing,New Zealand
Gold Medal,Canoe Sprint,New Zealand
Gold Medal,Canoe Sprint,New Zealand
Bronze Medal,Sailing,Norway
Bronze Medal,Sailing,Peru
Silver Medal,Canoe Slalom,Poland
Bronze Medal,Rowing,Poland
Bronze Medal,Canoe Sprint,Republic of Moldova
Gold Medal,Rowing,Romania
Silver Medal,Rowing,Romania
Silver Medal,Rowing,Romania
Silver Medal,Rowing,Romania
Gold Medal,Rowing,Romania
Bronze Medal,Sailing,Singapore
Bronze Medal,Canoe Slalom,Slovakia
Silver Medal,Sailing,Slovenia
Bronze Medal,Canoe Slalom,Spain
Gold Medal,Sailing,Spain
Bronze Medal,Canoe Sprint,Spain
Bronze Medal,Canoe Sprint,Spain
Silver Medal,Sailing,Sweden
Bronze Medal,Sailing,Sweden
Bronze Medal,Rowing,Switzerland
Silver Medal,Canoe Sprint,Ukraine
Bronze Medal,Canoe Slalom,United States
Gold Medal,Rowing,United States
Bronze Medal,Sailing,United States
Bronze Medal,Rowing,United States
Gold Medal,Surfing,United States
Silver Medal,Canoe Sprint,United States
