medal_type,discipline,country
Silver Medal,Rowing,AIN
Silver Medal,Sailing,Argentina
Silver Medal,Swimming,Australia
Silver Medal,Swimming,Australia
Gold Medal,Swimming,Australia
Gold Medal,Swimming,Australia
Gold Medal,Canoe Slalom,Australia
Gold Medal,Swimming,Australia
Silver Medal,Swimming,Australia
Bronze Medal,Swimming,Australia
Gold Medal,Swimming,Australia
Gold Medal,Canoe Slalom,Australia
Silver Medal,Swimming,Australia
Silver Medal,Swimming,Australia
Gold Medal,Swimming,Australia
Bronze Medal,Rowing,Australia
Gold Medal,Swimming,Australia
Gold Medal,Swimming,Australia
Silver Medal,Sailing,Australia
Bronze Medal,Swimming,Australia
Bronze Medal,Swimming,Australia
Silver Medal,Swimming,Australia
Silver Medal,Swimming,Australia
Silver Medal,Swimming,Australia
Gold Medal,Canoe Slalom,Australia
Silver Medal,Surfing,Australia
Gold Medal,Sailing,Australia
Silver Medal,Canoe Sprint,Australia
Silver Medal,Marathon Swimming,Australia
Bronze Medal,Canoe Sprint,Australia
Silver Medal,Water Polo,Australia
Gold Medal,Sailing,Austria
Gold Medal,Sailing,Austria
Bronze Medal,Surfing,Brazil
Silver Medal,Surfing,Brazil
Silver Medal,Canoe Sprint,Brazil
Silver Medal,Swimming,Canada
Gold Medal,Swimming,Canada
Bronze Medal,Swimming,Canada
Gold Medal,Swimming,Canada
Bronze Medal,Swimming,Canada
Silver Medal,Rowing,Canada
Silver Medal,Swimming,Canada
Bronze Medal,Swimming,Canada
Gold Medal,Swimming,Canada
Bronze Medal,Canoe Sprint,Canada
Gold Medal,Canoe Sprint,Canada
Bronze Medal,Swimming,China
Bronze Medal,Swimming,China
Silver Medal,Swimming,China
Silver Medal,Swimming,China
Gold Medal,Swimming,China
Bronze Medal,Swimming,China
Bronze Medal,Swimming,China
Bronze Medal,Swimming,China
Silver Medal,Swimming,China
Gold Medal,Swimming,China
Bronze Medal,Swimming,China
Bronze Medal,Swimming,China
Gold Medal,Artistic Swimming,China
Gold Medal,Canoe Sprint,China
Gold Medal,Canoe Sprint,China
Gold Medal,Artistic Swimming,China
Gold Medal,Rowing,Croatia
Silver Medal,Water Polo,Croatia
Bronze Medal,Canoe Sprint,Cuba
Silver Medal,Sailing,Cyprus
Gold Medal,Canoe Sprint,Czechia
Gold Medal,Canoe Sprint,Czechia
Silver Medal,Sailing,Denmark
Bronze Medal,Canoe Sprint,Denmark
Gold Medal,Swimming,France
Gold Medal,Canoe Slalom,France
Gold Medal,Swimming,France
Gold Medal,Swimming,France
Silver Medal,Swimming,France
Silver Medal,Canoe Slalom,France
Bronze Medal,Sailing,France
Gold Medal,Swimming,France
Bronze Medal,Swimming,France
Bronze Medal,Swimming,France
Silver Medal,Canoe Slalom,France
Gold Medal,Surfing,France
Bronze Medal,Surfing,France
Silver Medal,Sailing,France
Gold Medal,Swimming,Germany
Silver Medal,Canoe Slalom,Germany
Bronze Medal,Rowing,Germany
Bronze Medal,Swimming,Germany
Gold Medal,Rowing,Germany
Bronze Medal,Canoe Slalom,Germany
Gold Medal,Canoe Sprint,Germany
Silver Medal,Canoe Sprint,Germany
Gold Medal,Canoe Sprint,Germany
Bronze Medal,Canoe Sprint,Germany
Silver Medal,Marathon Swimming,Germany
Bronze Medal,Canoe Slalom,Great Britain
Silver Medal,Swimming,Great Britain
Silver Medal,Canoe Slalom,Great Britain
Silver Medal,Swimming,Great Britain
Gold Medal,Swimming,Great Britain
Gold Medal,Rowing,Great Britain
Bronze Medal,Rowing,Great Britain
Bronze Medal,Rowing,Great Britain
Silver Medal,Rowing,Great Britain
Gold Medal,Rowing,Great Britain
Silver Medal,Rowing,Great Britain
Silver Medal,Swimming,Great Britain
Silver Medal,Swimming,Great Britain
Gold Medal,Rowing,Great Britain
Bronze Medal,Rowing,Great Britain
Bronze Medal,Sailing,Great Britain
Silver Medal,Canoe Slalom,Great Britain
Bronze Medal,Canoe Slalom,Great Britain
Gold Medal,Sailing,Great Britain
Silver Medal,Artistic Swimming,Great Britain
Silver Medal,Swimming,Greece
Bronze Medal,Rowing,Greece
Bronze Medal,Rowing,Greece
Bronze Medal,Swimming,"Hong Kong, China"
Bronze Medal,Swimming,"Hong Kong, China"
Silver Medal,Swimming,Hungary
Gold Medal,Swimming,Hungary
Gold Medal,Swimming,Hungary
Bronze Medal,Canoe Sprint,Hungary
Silver Medal,Canoe Sprint,Hungary
Silver Medal,Canoe Sprint,Hungary
Bronze Medal,Canoe Sprint,Hungary
Gold Medal,Marathon Swimming,Hungary
Bronze Medal,Marathon Swimming,Hungary
Silver Medal,Canoe Sprint,Hungary
Bronze Medal,Canoe Sprint,Hungary
Silver Medal,Canoe Sprint,Hungary
Bronze Medal,Swimming,Ireland
Gold Medal,Swimming,Ireland
Bronze Medal,Rowing,Ireland
Gold Medal,Rowing,Ireland
Bronze Medal,Swimming,Ireland
Gold Medal,Sailing,Israel
Silver Medal,Sailing,Israel
Bronze Medal,Swimming,Italy
Gold Medal,Swimming,Italy
Gold Medal,Swimming,Italy
Bronze Medal,Swimming,Italy
Silver Medal,Rowing,Italy
Gold Medal,Canoe Slalom,Italy
Silver Medal,Rowing,Italy
Gold Medal,Sailing,Italy
Silver Medal,Swimming,Italy
Silver Medal,Canoe Sprint,Italy
Bronze Medal,Marathon Swimming,Italy
Gold Medal,Sailing,Italy
Silver Medal,Swimming,Japan
Silver Medal,Sailing,Japan
Bronze Medal,Swimming,Korea
Bronze Medal,Rowing,Lithuania
Gold Medal,Rowing,Netherlands
Silver Medal,Rowing,Netherlands
